cluster,n_terms,total_occurrences,avg_year_occ_weighted,top_terms,all_terms,cluster_name
9,6,38,2017.6,"preference elicitation, collaborative filtering, e-commerce applications, intelligent user interfaces, neural network, question generation",preference elicitation; collaborative filtering; e-commerce applications; intelligent user interfaces; neural network; question generation,
12,5,44,2017.8,"reinforcement learning, active learning, adaptivity, markov decision process, meta learning",reinforcement learning; active learning; adaptivity; markov decision process; meta learning,
6,11,43,2017.9,"preference-based feedback, diversity, case-based recommendation, knowledge based recommendation, compromise, case-based reasoning, recipe recommendation, socially-aware, trade-offs",preference-based feedback; diversity; case-based recommendation; knowledge based recommendation; compromise; case-based reasoning; recipe recommendation; socially-aware; trade-offs; user interaction; user-centric,
10,5,19,2019.5,"information retrieval, data mining, explainable ai, machine learning, tagging",information retrieval; data mining; explainable ai; machine learning; tagging,
8,7,154,2020.1,"recommender systems, knowledge base, conversational, memory network, knowledge-aware, proceedings, workshop",recommender systems; knowledge base; conversational; memory network; knowledge-aware; proceedings; workshop,
1,16,128,2021.1,"dialogue systems, evaluation, user study, user experience, user simulation, compound critiquing, transformer, chatgpt, user preference modeling",dialogue systems; evaluation; user study; user experience; user simulation; compound critiquing; transformer; chatgpt; user preference modeling; conversational information access; prompt engineering; end-to-end learning; fine-tuning; task-oriented dialogue systems; task-oriented dialogue; user satisfaction,
3,12,102,2021.3,"conversational agents, chatbot, personalization, explanation, e-commerce, human-computer interaction, trust, user interface, multi-agent",conversational agents; chatbot; personalization; explanation; e-commerce; human-computer interaction; trust; user interface; multi-agent; anthropomorphism; social signals; privacy,
2,14,459,2021.8,"conversational recommender systems, knowledge graph, natural language processing, ontology, knowledge-based recommender system, functional requirements, product functional requirements, semantic web, contrastive learning",conversational recommender systems; knowledge graph; natural language processing; ontology; knowledge-based recommender system; functional requirements; product functional requirements; semantic web; contrastive learning; knowledge representation; sentiment analysis; ontology-based recommender system; data augmentation; public administration,
4,12,231,2021.9,"conversational recommendation, critiquing, recommendation, graph representation learning, datasets, deep learning, user preference, conversational systems, multi-round conversational recommendation",conversational recommendation; critiquing; recommendation; graph representation learning; datasets; deep learning; user preference; conversational systems; multi-round conversational recommendation; conversation; hierarchical reinforcement learning; symbiotic ai,
5,11,61,2022.2,"user modeling, explainable recommendation, graph neural network, user simulator, generative ai, dialogue generation, diffusion model, interactive recommender systems, graph reasoning",user modeling; explainable recommendation; graph neural network; user simulator; generative ai; dialogue generation; diffusion model; interactive recommender systems; graph reasoning; self-attention mechanism; personalized recommendation,
13,4,23,2022.3,"online learning, bandit feedback, clustering of bandits, cold-start",online learning; bandit feedback; clustering of bandits; cold-start,
7,8,43,2022.6,"conversational search, conversational ai, conversational ui design, decision-making, deep reinforcement learning, intelligent assistants, interaction behavior analysis, meta intents",conversational search; conversational ai; conversational ui design; decision-making; deep reinforcement learning; intelligent assistants; interaction behavior analysis; meta intents,
16,1,4,2023.2,popularity bias,popularity bias,
14,3,23,2024.3,"prompt learning, pre-trained language model, prompt-tuning",prompt learning; pre-trained language model; prompt-tuning,
11,5,99,2024.6,"large language models, interactive recommendation, retrieval-augmented generation, multi-agent systems, representation learning",large language models; interactive recommendation; retrieval-augmented generation; multi-agent systems; representation learning,
15,1,4,2024.8,language models,language models,
