term,collocate,cooc,coll_freq,logDice,register
face,challenge,29,264,11.541,other
face,numerous,3,6,10.654,other
face,relative,3,28,10.21,other
face,highlight,4,61,10.142,other
face,solution,4,73,10.0,other
face,negative,3,42,9.985,other
face,limitation,5,115,9.913,other
face,significant,5,132,9.775,other
face,choice,3,67,9.654,other
face,key,5,158,9.587,other
face,effectively,4,129,9.476,other
face,traditional,4,130,9.469,other
face,number,3,88,9.425,other
face,exist,7,295,9.356,other
face,problem,4,182,9.111,other
face,llms,3,165,8.804,other
face,capture,3,167,8.791,instrumental
face,end,3,167,8.791,other
face,language,8,593,8.66,other
face,time,3,190,8.648,other
face,natural,4,302,8.52,other
face,crs,13,1150,8.466,other
face,quality,3,233,8.415,other
face,method,4,502,7.878,other
face,information,4,509,7.86,other
face,approach,4,550,7.759,other
face,interaction,4,620,7.601,other
face,provide,3,460,7.577,other
face,dialogue,4,739,7.367,other
face,user,16,3342,7.27,other
face,recommendation,11,2577,7.097,other
face,preference,5,1198,7.031,instrumental
face,item,3,907,6.675,other
face,base,4,1314,6.581,other
face,model,3,1070,6.449,instrumental
face,system,5,2217,6.172,other
face,conversational,5,2285,6.13,other
