modified_noun,count
recommender,1165
recommendation,1032
system,625
agent,117
interaction,68
search,49
information,25
model,24
bandit,23
approach,21
context,20
ai,19
setting,16
dataset,16
user,15
strategy,14
task,14
preference,14
mechanism,12
key,12
contexts,12
term,11
paradigm,10
recommendations,10
datum,10
feedback,10
quality,10
rs,9
assistant,9
interface,9
movie,8
and,8
technology,8
turn,8
history,8
critiquing,8
case,8
promotion,8
planning,8
agents,7
method,7
recommenders,7
process,6
session,6
skill,6
path,6
flow,6
exploration,6
technique,6
framework,6
support,6
capability,6
collaborative,5
product,5
experience,5
systems,5
advisor,5
corpora,5
goal,4
feature,4
group,4
question,4
environment,4
breakdown,4
robot,4
performance,4
style,4
methodology,4
input,4
planner,4
text,3
music,3
access,3
bandits,3
sample,3
efficiency,3
assistance,3
scenario,3
understanding,3
contextual,3
debiase,3
food,3
tourism,3
rec,2
sale,2
default,2
characteristic,2
module,2
recipe,2
critique,2
policy,2
seeking,2
retrieval,2
component,2
conference,2
strategies,2
tool,2
fashion,2
service,2
grs,2
playlist,2
item,2
format,2
reasoning,2
manner,2
limitation,2
response,2
graph,2
gai,2
query,2
round,2
fluency,2
supervision,2
decision,2
snippet,2
one,2
educational,2
chatbot,2
explanation,2
interactions,2
dialogue,2
table,2
lack,2
application,2
coherence,2
"recommendation""[ai",2
intent,2
tree,2
pattern,2
sales,2
diversity,2
action,2
architecture,2
counterpart,2
identification,2
recommence,1
navigation,1
downstream,1
phase,1
conceptualization,1
thompson,1
ucb,1
news,1
bundle,1
passage,1
systems(crs,1
cbr,1
justificatons,1
scheme,1
utility,1
perspective,1
artificial,1
systems∼(crss,1
part,1
description,1
dueling,1
duel,1
manipulation,1
image,1
advisors,1
styles,1
potential,1
workout,1
consumer,1
fine,1
tuning,1
representation,1
recommander,1
implementation,1
mobile,1
travel,1
destination,1
engine,1
state,1
transition,1
career,1
job,1
explanations,1
